biome,temperature_min,temperature_max,humidity_min,humidity_max,continentalness_min,continentalness_max,erosion_min,erosion_max,weirdness_min,weirdness_max,depth_min,depth_max,offset
the_winter_rescue:diorite_caves,0.05,0.45,-0.45,0.4,0.03,0.3,-0.78,-0.375,-0.78,-0.2225,0.1,0.45,0.125
the_winter_rescue:diorite_caves,0.05,0.45,-0.45,0.4,0.03,0.3,-0.78,-0.375,-0.2,0.375,0.1,0.45,0.125
the_winter_rescue:hydrothermal_deposits,0.05,0.45,-0.35,0.3,0.03,0.3,-0.78,-0.375,0.375,1.0,0.15,0.45,0.0
the_winter_rescue:magmatic_deposits,0.25,1.0,-1.0,1.0,0.03,1.0,-1.0,-0.375,-0.78,-0.2225,0.5,0.91,0.0
the_winter_rescue:fossil_deposits,0.1,0.35,-0.35,0.3,0.1,0.45,-0.2225,0.05,-1.0,0.15,-0.005,0.0,1e-05
the_winter_rescue:brine_deposits,-0.01,0.1,-1.0,-0.35,-0.19,-0.11,0.05,0.35,-0.25,0.3,0.1,0.45,0.0
the_winter_rescue:destroyed_forest,0.15,0.5,-0.5,0.5,0.1,0.6,0.05,0.45,-0.4,0.35,-0.005,0.0,0.0001
the_winter_rescue:ice_caves,-1.0,-0.75,-0.45,0.4,0.01,0.3,-0.375,0.375,-0.78,-0.2225,0.0,0.25,0.05
minecraft:deep_frozen_ocean,-1.0,1.0,-1.0,1.0,-1.2,-0.455,-1.0,-0.78,-1.0,1.0,-0.005,0.0,0.0
minecraft:deep_frozen_ocean,-1.0,1.0,-1.0,1.0,-1.2,-0.455,-0.2225,0.05,-1.0,1.0,-0.005,0.0,0.0
minecraft:deep_frozen_ocean,-1.0,1.0,-1.0,1.0,-1.2,-0.455,0.4,0.5650000000000001,-1.0,1.0,-0.005,0.0,0.0
minecraft:deep_frozen_ocean,-1.0,1.0,-1.0,1.0,-1.05,-0.455,-0.78,1.0,-1.0,1.0,-0.005,0.0,0.0
minecraft:frozen_ocean,-1.0,1.0,-1.0,1.0,-0.455,-0.2,-1.0,1.0,-1.0,1.0,-0.005,0.0,0.0
minecraft:snowy_slopes,-1.0,0.55,-1.0,1.0,-0.2,-0.11,-1.0,-0.375,-1.0,-0.56666666,-0.005,0.0,0.0
minecraft:ice_spikes,-1.0,-0.45,-1.0,-0.35,-0.2,0.03,-0.2225,0.05,-1.0,-0.26666668,-0.005,0.0,0.0
minecraft:snowy_plains,-1.0,0.55,-0.35,0.1,-0.2,0.03,-0.2225,0.05,-1.0,-0.26666668,-0.005,0.0,0.0
minecraft:snowy_taiga,-0.15,0.55,0.1,1.0,-0.2,0.03,-0.2225,0.05,-1.0,-0.26666668,-0.005,0.0,0.0
the_winter_rescue:nature/destroyed_marsh,0.2,0.55,0.1,1.0,-0.2,0.03,-0.2225,0.05,-1.0,-0.26666668,-0.005,0.0,0.0
the_winter_rescue:nature/snowy_shrubland,-0.45,0.2,-1.0,-0.585,-0.2,0.03,-0.2225,0.05,-1.0,-0.26666668,-0.005,0.0,0.0
minecraft:snowy_beach,-1.0,1.0,-1.0,1.0,-0.2,-0.11,0.05,1.0,-1.0,-0.93333334,-0.005,0.0,0.0
minecraft:badlands,-1.0,-0.73,-1.0,-0.35,-0.11,1.0,-1.0,-0.375,-1.0,-0.05,-0.005,0.0,0.0
minecraft:snowy_slopes,-1.0,-0.15,-0.35,-0.1,-0.11,0.03,-1.0,-0.375,-1.0,-0.7666667,-0.005,0.0,0.0
minecraft:grove,-0.15,0.55,-0.1,0.1,-0.11,0.03,-1.0,-0.375,-1.0,-0.7666667,-0.005,0.0,0.0
the_winter_rescue:nature/frostbough_forest,0.55,1.0,0.1,0.5650000000000001,-0.11,0.03,-1.0,-0.375,-1.0,-0.7666667,-0.005,0.0,0.0
the_winter_rescue:nature/frostbough_forest,0.55,1.0,0.5650000000000001,1.0,-0.11,0.03,-1.0,-0.78,-1.0,-0.7666667,-0.005,0.0,0.0
minecraft:snowy_slopes,-1.0,-0.15,-1.0,-0.1,-0.11,0.03,-1.0,-0.375,-1.0,-0.7666667,-0.005,0.0,0.0
minecraft:grove,-0.15,0.55,0.1,1.0,-0.11,0.03,-1.0,-0.375,-1.0,-0.7666667,-0.005,0.0,0.0
minecraft:snowy_slopes,-1.0,0.2,-1.0,-0.585,-0.11,0.03,-1.0,-0.78,-1.0,-0.7666667,-0.005,0.0,0.0
minecraft:grove,0.2,1.0,0.3,1.0,-0.11,0.03,-1.0,-0.78,-1.0,-0.7666667,-0.005,0.0,0.0
minecraft:snowy_slopes,-1.0,0.2,-0.585,-0.1,-0.11,0.03,-1.0,-0.78,-1.0,-0.7666667,-0.005,0.0,0.0
minecraft:grove,0.2,1.0,0.1,1.0,-0.11,0.03,-1.0,-0.78,-1.0,-0.7666667,-0.005,0.0,0.0
minecraft:ice_spikes,-1.0,-0.45,-1.0,-0.35,-0.11,0.03,-0.375,0.05,-1.0,-0.05,-0.005,0.0,0.0
minecraft:snowy_plains,-1.0,0.55,-0.35,0.1,-0.11,0.03,-0.375,0.05,-1.0,-0.05,-0.005,0.0,0.0
minecraft:snowy_taiga,-0.15,0.55,0.1,1.0,-0.11,0.03,-0.375,0.05,-1.0,-0.05,-0.005,0.0,0.0
the_winter_rescue:nature/destroyed_marsh,0.2,0.55,0.1,1.0,-0.11,0.03,-0.375,0.05,-1.0,-0.05,-0.005,0.0,0.0
the_winter_rescue:nature/snowy_shrubland,-0.45,0.2,-1.0,-0.585,-0.11,0.03,-0.375,0.05,-1.0,-0.05,-0.005,0.0,0.0
minecraft:badlands,-1.0,-0.73,-1.0,-0.1,-0.11,1.0,0.05,0.5650000000000001,-1.0,-0.05,-0.005,0.0,0.0
minecraft:snowy_plains,-1.0,0.55,-0.1,0.1,-0.11,0.03,0.05,0.5650000000000001,-1.0,-0.05,-0.005,0.0,0.0
the_winter_rescue:nature/frostbough_forest,0.55,1.0,0.1,0.5650000000000001,-0.11,0.03,0.05,0.5650000000000001,-1.0,-0.05,-0.005,0.0,0.0
minecraft:snowy_plains,-0.73,0.55,-1.0,-0.35,-0.11,0.03,0.05,0.5650000000000001,-1.0,-0.05,-0.005,0.0,0.0
the_winter_rescue:nature/snowy_shrubland,-0.73,0.2,-0.35,-0.1,-0.11,0.03,0.05,0.5650000000000001,-1.0,-0.05,-0.005,0.0,0.0
minecraft:snowy_taiga,0.2,0.55,0.1,0.3,-0.11,0.03,0.05,0.5650000000000001,-1.0,-0.05,-0.005,0.0,0.0
